MU: -1.997284e+00 -2.362259e+00 1.503819e+00 -8.928034e-01 -2.458396e-01 
algo,mean,variance,S,tail
gl,1.497094e-03,3.390530e-05,5,2.000000e-01
nv,6.682586e-03,3.303738e-03,5,2.000000e-01
gl,1.488728e-03,3.362640e-05,5,2.000000e-01
nv,6.625556e-03,3.275854e-03,5,2.000000e-01
gl,1.478621e-03,3.335462e-05,5,2.000000e-01
nv,6.569407e-03,3.248438e-03,5,2.000000e-01
gl,1.469791e-03,3.308617e-05,5,2.000000e-01
nv,6.514454e-03,3.221474e-03,5,2.000000e-01
gl,1.463766e-03,3.282050e-05,5,2.000000e-01
nv,6.460833e-03,3.194949e-03,5,2.000000e-01
gl,1.544161e-03,4.095798e-05,5,2.000000e-01
nv,6.407438e-03,3.168865e-03,5,2.000000e-01
gl,1.536804e-03,4.063231e-05,5,2.000000e-01
nv,6.355000e-03,3.143202e-03,5,2.000000e-01
gl,1.637128e-03,5.382552e-05,5,2.000000e-01
nv,6.303333e-03,3.117953e-03,5,2.000000e-01
gl,1.627241e-03,5.340599e-05,5,2.000000e-01
nv,6.252661e-03,3.093104e-03,5,2.000000e-01
gl,1.618687e-03,5.299245e-05,5,2.000000e-01
nv,6.999520e-03,3.852529e-03,5,2.000000e-01
gl,1.607521e-03,5.258793e-05,5,2.000000e-01
nv,7.659603e-03,4.397508e-03,5,2.000000e-01
gl,1.596296e-03,5.219008e-05,5,2.000000e-01
nv,7.614173e-03,4.363368e-03,5,2.000000e-01
gl,2.131138e-03,4.154729e-04,5,2.000000e-01
nv,7.554687e-03,4.329703e-03,5,2.000000e-01
gl,2.129594e-03,4.122986e-04,5,2.000000e-01
nv,7.496279e-03,4.296550e-03,5,2.000000e-01
gl,2.116132e-03,4.091494e-04,5,2.000000e-01
nv,7.438615e-03,4.263903e-03,5,2.000000e-01
gl,2.100897e-03,4.060541e-04,5,2.000000e-01
nv,7.419542e-03,4.233055e-03,5,2.000000e-01
gl,2.092847e-03,4.030042e-04,5,2.000000e-01
nv,7.363333e-03,4.201376e-03,5,2.000000e-01
gl,2.080282e-03,3.999954e-04,5,2.000000e-01
nv,7.307970e-03,4.170168e-03,5,2.000000e-01
gl,2.103572e-03,3.983461e-04,5,2.000000e-01
nv,7.253433e-03,4.139420e-03,5,2.000000e-01
gl,2.106476e-03,3.957613e-04,5,2.000000e-01
nv,7.208222e-03,4.109080e-03,5,2.000000e-01
gl,2.097974e-03,3.928670e-04,5,2.000000e-01
nv,7.164926e-03,4.079151e-03,5,2.000000e-01
gl,2.086176e-03,3.900191e-04,5,2.000000e-01
nv,7.116350e-03,4.049693e-03,5,2.000000e-01
gl,2.087297e-03,3.873899e-04,5,2.000000e-01
nv,7.064783e-03,4.020690e-03,5,2.000000e-01
gl,2.106322e-03,3.856195e-04,5,2.000000e-01
nv,7.013957e-03,3.992100e-03,5,2.000000e-01
gl,2.103770e-03,3.829952e-04,5,2.000000e-01
nv,6.968571e-03,3.963878e-03,5,2.000000e-01
gl,2.092963e-03,3.802964e-04,5,2.000000e-01
nv,6.920071e-03,3.936076e-03,5,2.000000e-01
gl,2.086057e-03,3.776376e-04,5,2.000000e-01
nv,6.918380e-03,3.909630e-03,5,2.000000e-01
gl,2.093576e-03,3.752949e-04,5,2.000000e-01
nv,6.916573e-03,3.884594e-03,5,2.000000e-01
gl,2.084671e-03,3.727179e-04,5,2.000000e-01
nv,6.875625e-03,3.857904e-03,5,2.000000e-01
gl,2.077959e-03,3.701816e-04,5,2.000000e-01
nv,6.828207e-03,3.831604e-03,5,2.000000e-01
gl,2.067110e-03,3.676647e-04,5,2.000000e-01
nv,6.781507e-03,3.805658e-03,5,2.000000e-01
gl,2.054455e-03,3.651857e-04,5,2.000000e-01
nv,6.735578e-03,3.780060e-03,5,2.000000e-01
gl,2.042867e-03,3.627392e-04,5,2.000000e-01
nv,6.690068e-03,3.754806e-03,5,2.000000e-01
gl,2.038104e-03,3.603392e-04,5,2.000000e-01
nv,6.730134e-03,3.734133e-03,5,2.000000e-01
gl,2.035511e-03,3.579700e-04,5,2.000000e-01
nv,6.686800e-03,3.709505e-03,5,2.000000e-01
gl,2.025991e-03,3.556192e-04,5,2.000000e-01
nv,6.642517e-03,3.685217e-03,5,2.000000e-01
gl,2.018688e-03,3.532964e-04,5,2.000000e-01
nv,6.599079e-03,3.661242e-03,5,2.000000e-01
gl,2.012824e-03,3.510064e-04,5,2.000000e-01
nv,6.555948e-03,3.637579e-03,5,2.000000e-01
gl,2.007965e-03,3.487729e-04,5,2.000000e-01
nv,6.855779e-03,3.790306e-03,5,2.000000e-01
gl,2.211622e-03,4.119516e-04,5,2.000000e-01
nv,6.811548e-03,3.766138e-03,5,2.000000e-01
gl,2.200761e-03,4.093335e-04,5,2.000000e-01
nv,6.767885e-03,3.742277e-03,5,2.000000e-01
gl,2.191982e-03,4.067434e-04,5,2.000000e-01
nv,6.844650e-03,3.739662e-03,5,2.000000e-01
gl,2.191663e-03,4.042296e-04,5,2.000000e-01
nv,6.802152e-03,3.716263e-03,5,2.000000e-01
gl,2.180397e-03,4.017079e-04,5,2.000000e-01
nv,6.759371e-03,3.693165e-03,5,2.000000e-01
gl,2.181094e-03,3.993954e-04,5,2.000000e-01
nv,6.717125e-03,3.670352e-03,5,2.000000e-01
gl,2.176009e-03,3.969494e-04,5,2.000000e-01
nv,6.757888e-03,3.653545e-03,5,2.000000e-01
gl,2.164683e-03,3.945193e-04,5,2.000000e-01
nv,6.722531e-03,3.631239e-03,5,2.000000e-01
gl,2.156674e-03,3.921196e-04,5,2.000000e-01
nv,6.681288e-03,3.609223e-03,5,2.000000e-01
gl,2.161635e-03,3.900074e-04,5,2.000000e-01
nv,6.640549e-03,3.587473e-03,5,2.000000e-01
gl,2.253525e-03,4.038374e-04,5,2.000000e-01
nv,6.757636e-03,3.584849e-03,5,2.000000e-01
gl,2.242524e-03,4.014252e-04,5,2.000000e-01
nv,6.716928e-03,3.563515e-03,5,2.000000e-01
gl,2.242700e-03,3.990793e-04,5,2.000000e-01
nv,6.695749e-03,3.542783e-03,5,2.000000e-01
gl,2.279423e-03,3.984323e-04,5,2.000000e-01
nv,6.655893e-03,3.521948e-03,5,2.000000e-01
gl,2.270582e-03,3.960920e-04,5,2.000000e-01
nv,6.616509e-03,3.501356e-03,5,2.000000e-01
gl,2.259418e-03,3.937826e-04,5,2.000000e-01
nv,6.577588e-03,3.481004e-03,5,2.000000e-01
gl,2.258867e-03,3.915434e-04,5,2.000000e-01
nv,6.539123e-03,3.460887e-03,5,2.000000e-01
gl,2.275048e-03,3.900662e-04,5,2.000000e-01
nv,6.503779e-03,3.440977e-03,5,2.000000e-01
gl,2.280266e-03,3.879730e-04,5,2.000000e-01
nv,6.467283e-03,3.421307e-03,5,2.000000e-01
gl,2.275998e-03,3.857736e-04,5,2.000000e-01
nv,6.430115e-03,3.401872e-03,5,2.000000e-01
gl,2.269971e-03,3.835838e-04,5,2.000000e-01
nv,6.393371e-03,3.382657e-03,5,2.000000e-01
gl,2.265478e-03,3.814377e-04,5,2.000000e-01
nv,6.742784e-03,3.620628e-03,5,2.000000e-01
gl,2.259490e-03,3.792996e-04,5,2.000000e-01
nv,6.705819e-03,3.600404e-03,5,2.000000e-01
gl,2.248024e-03,3.771916e-04,5,2.000000e-01
nv,6.675000e-03,3.580409e-03,5,2.000000e-01
gl,2.238737e-03,3.750997e-04,5,2.000000e-01
nv,6.637709e-03,3.560643e-03,5,2.000000e-01
gl,2.233356e-03,3.730470e-04,5,2.000000e-01
nv,6.600833e-03,3.541094e-03,5,2.000000e-01
gl,2.291381e-03,3.750536e-04,5,2.000000e-01
nv,6.568564e-03,3.521736e-03,5,2.000000e-01
gl,2.287651e-03,3.730146e-04,5,2.000000e-01
nv,6.532473e-03,3.502611e-03,5,2.000000e-01
gl,2.279271e-03,3.709992e-04,5,2.000000e-01
nv,6.497486e-03,3.483684e-03,5,2.000000e-01
gl,2.269498e-03,3.690023e-04,5,2.000000e-01
nv,6.462174e-03,3.464969e-03,5,2.000000e-01
gl,2.259963e-03,3.670263e-04,5,2.000000e-01
nv,6.444541e-03,3.446785e-03,5,2.000000e-01
gl,2.257975e-03,3.650988e-04,5,2.000000e-01
nv,6.411398e-03,3.428451e-03,5,2.000000e-01
gl,2.249989e-03,3.631616e-04,5,2.000000e-01
nv,6.482086e-03,3.429488e-03,5,2.000000e-01
gl,2.395059e-03,4.044413e-04,5,2.000000e-01
nv,6.448723e-03,3.411446e-03,5,2.000000e-01
gl,2.397442e-03,4.024351e-04,5,2.000000e-01
nv,6.620317e-03,3.464371e-03,5,2.000000e-01
gl,2.397854e-03,4.004997e-04,5,2.000000e-01
nv,7.019211e-03,3.798084e-03,5,2.000000e-01
gl,2.403055e-03,3.987990e-04,5,2.000000e-01
nv,6.982461e-03,3.778445e-03,5,2.000000e-01
gl,2.395741e-03,3.967404e-04,5,2.000000e-01
nv,6.946094e-03,3.759008e-03,5,2.000000e-01
gl,2.385802e-03,3.947059e-04,5,2.000000e-01
nv,6.910104e-03,3.739770e-03,5,2.000000e-01
gl,2.376333e-03,3.926918e-04,5,2.000000e-01
nv,6.878608e-03,3.720704e-03,5,2.000000e-01
gl,2.367321e-03,3.906976e-04,5,2.000000e-01
nv,6.845487e-03,3.701835e-03,5,2.000000e-01
gl,2.361779e-03,3.887513e-04,5,2.000000e-01
nv,6.810561e-03,3.683176e-03,5,2.000000e-01
gl,2.352779e-03,3.867957e-04,5,2.000000e-01
nv,6.777563e-03,3.664688e-03,5,2.000000e-01
gl,2.343176e-03,3.848608e-04,5,2.000000e-01
nv,6.743333e-03,3.646402e-03,5,2.000000e-01
gl,2.334143e-03,3.829438e-04,5,2.000000e-01
nv,6.714020e-03,3.628257e-03,5,2.000000e-01
gl,2.349957e-03,3.822262e-04,5,2.000000e-01
nv,6.680450e-03,3.610331e-03,5,2.000000e-01
gl,2.339640e-03,3.803453e-04,5,2.000000e-01
nv,6.647214e-03,3.592581e-03,5,2.000000e-01
gl,2.330650e-03,3.784800e-04,5,2.000000e-01
nv,6.614307e-03,3.575005e-03,5,2.000000e-01
gl,2.322941e-03,3.766316e-04,5,2.000000e-01
nv,6.581724e-03,3.557600e-03,5,2.000000e-01
gl,2.316498e-03,3.748312e-04,5,2.000000e-01
nv,6.549510e-03,3.540363e-03,5,2.000000e-01
gl,2.307127e-03,3.730213e-04,5,2.000000e-01
nv,6.517561e-03,3.523293e-03,5,2.000000e-01
gl,2.304792e-03,3.712307e-04,5,2.000000e-01
nv,6.509709e-03,3.507243e-03,5,2.000000e-01
gl,2.295953e-03,3.694534e-04,5,2.000000e-01
nv,6.478454e-03,3.490493e-03,5,2.000000e-01
gl,2.295693e-03,3.678000e-04,5,2.000000e-01
nv,6.447885e-03,3.473898e-03,5,2.000000e-01
gl,2.287840e-03,3.660546e-04,5,2.000000e-01
nv,6.417033e-03,3.457466e-03,5,2.000000e-01
gl,2.305968e-03,3.655008e-04,5,2.000000e-01
nv,6.386857e-03,3.441185e-03,5,2.000000e-01
gl,2.323994e-03,3.642463e-04,5,2.000000e-01
nv,6.356588e-03,3.425061e-03,5,2.000000e-01
gl,2.318896e-03,3.625452e-04,5,2.000000e-01
nv,6.326604e-03,3.409087e-03,5,2.000000e-01
gl,2.332539e-03,3.615522e-04,5,2.000000e-01
nv,6.299484e-03,3.393240e-03,5,2.000000e-01
gl,2.324044e-03,3.598810e-04,5,2.000000e-01
nv,6.389486e-03,3.391372e-03,5,2.000000e-01
gl,2.313780e-03,3.582291e-04,5,2.000000e-01
